domainname,Registrant_pri_email,Registrant_adminemail,Registrant_billingemail,Registrant_techemail
zobaidah.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
zikritschool.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
zaynab.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
wakraprim.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
wakraboys.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
wajprep.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
ummslalboys.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
ummslalali-m.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
ummsalama.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
ummhani.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
ummhakeem.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
ummaymanschool.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
ummalqora.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
ummalamad.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
ummaabad.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
t-ziyad2030.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
tsd.sch.qa,amordhahri@gmail.com,belgacem.ouniss@gmail.com,ccaridha@yahoo.fr,amordhahri@gmail.com
somaiya.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
sokayna.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
smaisma.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
sia.sch.qa,principal.shoumoukh@gmail.com,principal.shoumoukh@gmail.com,dummy@domains.qa,principal.shoumoukh@gmail.com
sherborne-is.sch.qa,mwalker@sherborneqatar.org,mwalker@sherborneqatar.org,mwalker@sherborneqatar.org,mwalker@sherborneqatar.org
shakespeare.sch.qa,info.shakespeare@yahoo.com,info.shakespeare@yahoo.com,info.shakespeare@yahoo.com,info.shakespeare@yahoo.com
shahanyia-b.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
shahaniya-m.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
saudschool.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
salaheddeen.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
safiyya.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
saad.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
ruqprep.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
rufaidah.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
royal.sch.qa,info@royal-schools.com,dr.rabie@gmail.com,info@royal-schools.com,info@royal-schools.com
rodabm.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
rayyan-jadeedsg.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
rawdatboys.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
rawdarashidgirls.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
rawdabintjassim.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
rabaaschool.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
qsst.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
qiss.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
qis.sch.qa,saida@qis.org,ihab@medianetworkqatar.com,ihab@medianetworkqatar.com,ihab@medianetworkqatar.com
